  336 1 2  24 2 -1 0-1.
  336 2 2  24 2 -1 0-1.
  341 1 2  24 2 -1 0-1.
  351 1 2  24 1 24 0 0.
  357 1 2  24 2 -1 0-1.
  360 1 2  24 1 24 0 0.
  364 1 2  24 1  8 0 0.
  365 2 2  24 1 20 0 0.
  367 1 2  24 1 16 0 0.
  367 2 2  24 1 16 0 0.
  367 3 2  24 1 16 0 0.
  367 4 2  24 2 -1 0-1.
  372 1 2  24 1 16 0 0.
  379 1 2  24 1 16 0 0.
  379 2 2  24 1 40 0 0.
  383 1 2  24 1 40 0 0.
  383 2 2  24 2 -1 0-1.
  388 1 2  24 1 40 0 0.
  388 2 2  24 1 16 0 0.
  389 1 2  24 1  8 0 0.
  389 2 2  24 2 -1 0-1.
  396 1 2  24 2 -1 0-1.
  403 1 2  24 1 40 0 0.
  403 2 2  24 2 -1 0-1.
  408 1 2  24 1 45 0 0.
  415 1 2  24 1 16 0 0.
  418 1 2  24 1 55 0 0.
  426 1 2  24 2 -1 0-1.
  436 1 2  24 1 45 0 0.
  436 2 2  24 1 40 0 0.
  437 1 2  24 1 16 0 0.
  438 1 2  24 2 -1 0-1.
  440 1 2  24 1 24 0 0.
  440 2 2  24 2 -1 0-1.
  441 1 2  24 1  8 0 0.
  442 1 2  24 1 32 0 0.
  442 2 2  24 1 50 0 0.
  442 3 2  24 2 -1 0-1.
  443 2 2  24 1  1 0 0.
  443 3 2  24 2 -1 0-1.
  445 1 2  24 1 31 0 0.
  445 2 2  24 1 32 0 0.
  446 1 2  24 1 50 0 0.
  446 2 2  24 1 25 0 0.
  447 1 2  24 1  8 0 0.
  447 2 2  24 1  8 0 0.
  449 1 2  24 1 32 0 0.
  449 2 2  24 1 20 0 0.
  450 2 2  24 1 40 0 0.
  452 1 2  24 2 -1 0-1.
  452 2 2  24 1 32 0 0.
  453 1 2  24 2 -1 0-1.
  455 1 2  24 2 -1 0-1.
  456 1 2  24 2 -1 0-1.
  456 2 2  24 1  5 0 0.
  460 1 2  24 1 42 0 0.
  463 1 2  24 2 -1 0-1.
  463 2 2  24 1 20 0 0.
  475 1 2  24 2 -1 0-1.
  476 1 2  24 2 -1 0-1.
  477 1 2  24 2 -1 0-1.
  479 1 2  24 2 -1 0-1.
  480 1 2  24 2 -1 0-1.
  488 1 2  24 2 -1 0-1.
  489 1 2  24 2 -1 0-1.
  491 1 2  24 2 -1 0-1.
  492 2 2  24 2 -1 0-1.
  493 1 2  24 2 -1 0-1.
  495 1 2  24 2 -1 0-1.
  496 1 2  24 2 -1 0-1.
  500 1 2  24 2 -1 0-1.
  500 2 2  24 2 -1 0-1.
  503 1 2  24 2 -1 0-1.
  504 2 2  24 2 -1 1-1.
  504 5 2  24 2 -1 1-1.
  505 1 2  24 2 -1 0-1.
  510 1 2  24 2 -1 0-1.
  510 5 2  24 2 -1 0-1.
  510 6 2  24 2 -1 0-1.
  514 2 2  24 2 -1 0-1.
  517 2 2  24 2 -1 0-1.
  531 1 2  24 2 -1 0-1.
  532 2 2  24 2 -1 0-1.
  534 1 2  24 2 -1 0-1.
  535 1 2  24 1 40 0 0.
  537 3 2  24 2 -1 0-1.
  539 1 2  24 1 35 0 0.
  539 2 2  24 1 50 0 0.
  540 1 2  24 1 30 0 0.
  541 1 2  24 1 55 0 0.
  541 2 2  24 1 40 0 0.
  542 1 2  24 2 -1 0-1.
  542 2 2  24 2 -1 0-1.
  545 1 2  24 2 -1 0-1.
  545 2 2  24 1  8 0 0.
  546 1 2  24 2 -1 0-1.
  546 2 2  24 1 45 0 0.
  546 3 2  24 2 -1 0-1.
  546 5 2  24 2 -1 0-1.
  547 1 2  24 1 10 0 0.
  548 2 2  24 2 -1 0-1.
  549 2 2  24 2 -1 0-1.
  551 1 2  24 2 -1 0-1.
  554 1 2  24 1  8 0 0.
  554 2 2  24 2 -1 0-1.
  559 1 2  24 2 -1 0-1.
  559 2 2  24 2 -1 0-1.
  560 1 2  24 1 15 0 0.
  560 2 2  24 2 -1 0-1.
  561 1 2  24 2 -1 0-1.
  561 2 2  24 1 32 0 0.
  561 3 2  24 1 32 0 0.
  575 1 2  24 2 -1 0-1.
  576 1 2  24 1 40 1 1.
  576 2 2  24 1 40 1 1.
  578 1 2  24 2 -1 0-1.
  579 1 2  24 2 -1 0-1.
  579 2 2  24 2 -1 0-1.
  582 1 2  24 2 -1 0-1.
  582 2 2  24 2 -1 0-1.
  582 3 2  24 2 -1 0-1.
  601 1 2  24 2 -1 0-1.
  601 2 2  24 2 -1 0-1.
  607 1 2  24 2 -1 0-1.
  607 2 2  24 2 -1 0-1.
  608 1 2  24 1 40 0 0.
  608 2 2  24 1 40 0 0.
  610 1 2  24 2 -1 0-1.
  610 2 2  24 2 -1 0-1.
  610 3 2  24 2 -1 0-1.
  610 4 2  24 2 -1 0-1.
  611 2 2  24 2 -1 0-1.
  612 1 2  24 2 -1 0-1.
  612 2 2  24 2 -1 0-1.
  612 3 2  24 2 -1 0-1.
  612 4 2  24 2 -1 0-1.
  613 1 2  24 2 -1 0-1.
  613 2 2  24 2 -1 0-1.
  613 3 2  24 2 -1 0-1.
  616 1 2  24 2 -1 0-1.
  616 2 2  24 2 -1 0-1.
  617 1 2  24 2 -1 0-1.
  617 2 2  24 2 -1 0-1.
  619 2 2  24 2 -1 0-1.
  619 3 2  24 1 10 0 0.
  620 2 2  24 2 -1 0-1.
  621 1 2  24 2 -1 0-1.
  623 1 2  24 2 -1 0-1.
  624 2 2  24 2 -1 0-1.
  631 1 2  24 2 -1 0-1.
  631 2 2  24 2 -1 0-1.
  631 3 2  24 2 -1 0-1.
  634 1 2  24 2 -1 0-1.
  634 2 2  24 2 -1 0-1.
  640 1 2  24 2 -1 0-1.
  640 2 2  24 2 -1 0-1.
  642 1 2  24 2 -1 0-1.
  642 2 2  24 2 -1 0-1.
  643 1 2  24 2 -1 0-1.
  644 2 2  24 2 -1 0-1.
  644 3 2  24 2 -1 0-1.
  644 5 2  24 2 -1 0-1.
  646 1 2  24 2 -1 0-1.
  646 2 2  24 2 -1 0-1.
  646 3 2  24 2 -1 0-1.
  646 4 2  24 2 -1 0-1.
  647 2 2  24 2 -1 0-1.
  652 1 2  24 2 -1 0-1.
  654 1 2  24 2 -1 0-1.
  658 1 2  24 2 -1 0-1.
  660 1 2  24 2 -1 0-1.
  660 4 2  24 2 -1 0-1.
  661 1 2  24 2 -1 0-1.
  661 2 2  24 2 -1 0-1.
  661 3 2  24 2 -1 0-1.
  662 1 2  24 2 -1 0-1.
  667 1 2  24 2 -1 1-1.
  668 1 2  24 1 50 0 0.
  673 1 2  24 2 -1 0-1.
  673 2 2  24 2 -1 0-1.
  680 1 2  24 2 -1 0-1.
  680 2 2  24 2 -1 0-1.
  681 2 2  24 2 -1 0-1.
  688 2 2  24 2 -1 0-1.
  688 3 2  24 2 -1 0-1.
  690 2 2  24 2 -1 0-1.
  690 4 2  24 2 -1 0-1.
  692 1 2  24 2 -1 0-1.
  694 2 2  24 2 -1 0-1.
  695 1 2  24 1 40 0 0.
  695 2 2  24 2 -1 1-1.
  697 1 2  24 1 40 0 0.
  697 2 2  24 2 -1 0-1.
  698 1 2  24 1 40 0 0.
  698 2 2  24 2 -1 0-1.
